navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,302J6FO,1,4,2,2,1980
swipe,302J6FO,2,0,-4,4,4316
swipe,302J6FO,2,1,5,5,2744
swipe,302J6FO,2,2,5,5,4012
swipe,302J6FO,2,3,6,6,3655
swipe,302J6FO,2,4,-5,5,3060
swipe,302J6FO,3,0,9,9,6616
swipe,302J6FO,3,1,8,8,4836
swipe,302J6FO,3,2,-7,7,4606
swipe,302J6FO,3,3,-8,8,3463
swipe,302J6FO,3,4,-8,8,4443
swipe,302J6FO,4,0,-11,11,8861
swipe,302J6FO,4,1,-11,11,4807
swipe,302J6FO,4,2,10,10,4764
swipe,302J6FO,4,3,-12,12,5539
swipe,302J6FO,4,4,11,11,4480
swipe,302J6FO,5,0,14,46,24822
swipe,302J6FO,5,1,-15,15,6878
swipe,302J6FO,5,2,-14,14,5764
swipe,302J6FO,5,3,13,13,5277
swipe,302J6FO,5,4,-14,14,5969
swipe,1E5N17K,0,0,-5,6,38467
swipe,1E5N17K,0,1,5,5,10754
swipe,1E5N17K,0,2,5,5,4181
swipe,1E5N17K,0,3,-5,5,3090
